Employee_ID,Basic_Salary,HRA,Other_Allowances,Income_Tax,Employee_Provident_Fund,Professional_Tax,Bonuses,Overtime,Deductions,Medical_Allowance,Travel_Allowance,Leave_Encashment
40,39118,9675,9789,5236,1773,352,5332,1939,71,4654,1200,2563
41,55773,6933,9090,7901,1391,321,4900,720,27,4747,2573,3623
42,73810,6380,4946,2920,1636,482,8939,1040,468,1284,1065,1253
43,21899,16873,3449,5188,3354,468,7963,67,763,4958,894,3357
44,76886,6290,7394,1238,4338,179,5568,132,2933,1420,2456,3209
45,21267,6640,9880,1204,4518,106,8838,1723,2959,3160,1022,3549
46,51551,18239,4331,6552,4512,371,2845,918,2594,4065,2062,614
47,70680,12490,7075,5927,3942,326,1382,429,1424,3275,1606,3078
48,31394,15874,4220,5390,3699,115,5112,307,2248,2494,1049,2723
49,23556,14179,9494,3687,3888,111,8069,649,819,4884,1968,3490
50,23890,6218,5789,5951,2025,390,4810,1197,1489,1527,2634,3543
51,61606,10016,9230,7160,3567,340,2509,411,1675,3543,1332,4515
52,50740,11881,9240,6388,4833,120,8573,96,559,1030,886,1900
53,34502,14547,4810,6126,2674,277,2578,1706,378,1161,1462,4371
54,41777,17457,7755,1816,3683,327,1879,1177,1918,2841,1921,1712
55,30627,17808,7494,1192,4380,372,3162,1718,1075,1704,785,2329
56,28792,18774,6728,2776,1739,387,8714,1265,78,1721,868,3619
57,63323,17327,3531,4645,2545,396,2359,1327,1408,2401,1945,1194
58,63021,14752,6882,7314,1468,233,5431,1308,833,1445,2241,4906
59,28433,14610,4990,9442,3259,382,9148,1050,1031,3791,1966,1378
60,63001,5954,9155,2788,2135,252,4960,1425,2072,1426,2276,1312
61,31016,14175,6493,8374,2031,165,4811,1383,449,4767,2043,2915
62,43897,12291,3143,4700,3851,236,5242,1083,2815,3551,1414,749
63,22612,5974,2933,4893,3524,191,5217,201,2802,2550,787,300
64,76193,9133,3460,7811,1873,416,1080,761,1992,2967,594,4695
65,78707,19663,7948,3679,1459,358,3732,873,1484,4888,2588,3982
66,75387,10370,4723,4904,3300,202,8833,580,2245,1720,830,4624
67,74638,8972,9079,8260,2549,154,3709,1993,1742,3731,2336,3837
68,43483,10295,4512,1504,1751,356,3422,369,1970,2801,2304,277
69,78822,18913,2285,7773,2461,200,4641,532,2484,4603,1678,4758
70,68555,14105,2264,4816,2777,297,1667,1175,1550,3629,774,2558
71,79900,17741,4367,1717,4028,400,3496,1125,689,4591,2088,3917
72,37159,13228,8816,5434,1853,325,4499,898,1990,2964,2726,2161
73,64974,16579,5447,1658,4732,336,9080,606,1401,2057,2456,4675
74,60994,14903,8963,6057,3283,125,7823,1469,586,3044,2275,1389
75,34541,8020,8232,5008,2329,220,2189,872,2151,1735,2684,690
76,55920,13987,7773,5994,1477,497,7604,1252,1829,3738,1266,4732
77,46531,9036,7322,5234,3726,281,9650,1148,1985,1757,1487,3468
78,21585,10068,6916,4764,4091,298,2025,769,626,4561,2259,1848
79,23943,17880,3762,5637,3263,401,8785,833,2031,2795,1703,4918
80,43939,10233,5048,3104,3902,354,1071,998,2505,2643,2790,4970
81,39457,16303,4381,7801,1134,221,6546,1904,363,1753,1619,3816
82,21021,14516,4269,9575,3952,130,3685,937,2182,4494,696,939
83,31653,19559,2040,3607,2152,414,8372,235,373,4539,1025,3182
84,63573,5317,7827,9385,1409,384,2848,161,2086,1023,1131,3309
85,33417,7396,2067,4719,2445,205,3022,553,1987,2239,1910,2050
86,72995,7162,2987,3581,2317,323,7338,787,2866,1054,907,1746
87,60757,7745,7895,3565,2269,372,4741,1376,2094,4097,1792,2451
88,29692,18634,8657,3763,4772,497,2298,1091,2083,2304,1694,24
89,65758,6591,9804,7328,2579,331,5102,1196,2142,3851,2448,2556
90,26873,16303,9789,6991,1085,355,1904,1866,1384,3374,1190,60
91,25675,19177,7717,4406,3603,123,4026,1660,1548,1969,2717,122
92,20161,11183,6008,9923,2865,208,7709,1705,1169,3233,658,2102
93,57065,8930,7751,5780,4446,290,5711,558,1940,3542,2994,1186
94,46557,15188,5198,5177,2469,446,9021,260,367,4083,2189,1730
95,53763,19060,7374,7476,1377,124,6969,216,64,4712,2437,4641
96,52606,6312,6790,3604,4461,286,3620,1840,753,4955,1517,4089
97,31534,14477,9183,9181,2680,387,3646,1147,1543,1433,1580,2472
98,49127,9311,4524,3382,2074,215,5865,804,2035,4992,611,2965
99,60397,12314,3085,1531,1241,437,8345,1185,2863,1207,547,2277
100,45851,7383,9024,7079,4365,465,3289,200,1876,1132,2410,4087
101,21016,8239,4479,1634,1919,136,8370,1477,1578,2362,875,2964
102,44253,7139,3693,1002,2586,381,4872,401,755,2219,1327,1310
103,75591,19688,4315,9397,3313,236,8690,1485,2228,2285,2580,154
104,44276,19906,7154,6951,4191,326,2440,274,1524,2305,1126,2212
105,43247,6704,2778,6626,3759,419,1765,205,596,1368,2419,3253
106,44300,11924,9743,8739,4988,427,5092,1063,2834,4174,1526,1262
107,28529,5362,6589,7003,2271,281,3666,1296,2674,4703,2391,1362
108,37262,7604,3585,3890,1069,461,9655,1723,1834,2206,2589,937
109,29268,14908,3492,7239,4924,185,6968,866,2663,3470,2556,511
110,41271,18481,7886,9026,3104,152,8641,92,1395,4080,1318,186
111,32185,17643,2660,4306,2405,447,3181,1065,1586,4628,1156,1845
112,41243,9286,3348,1897,3086,454,4888,1488,111,3291,2311,1702
113,59099,8738,7423,1670,3007,334,1840,378,452,1781,1289,390
114,28571,7469,3299,8291,1800,366,6899,1130,2803,3671,1959,654
115,77836,9795,5940,2505,4514,386,5118,1351,2631,1566,1654,4271
116,59976,11150,3986,7460,2041,199,1565,64,2186,4464,2129,2821
117,58044,19468,9851,6167,3779,186,7005,364,1871,1526,2043,763
118,71214,5556,9156,6255,1824,495,8226,820,2278,1036,2173,3400
119,69216,14017,4044,1249,1755,114,6890,1507,1262,1177,2404,4806
120,68984,7808,9368,7457,3399,200,5311,1670,252,1638,1936,3267
121,60774,10150,5516,2892,2995,264,8736,1924,2004,4700,1435,1085
122,22568,19870,8024,4439,2839,128,9848,1047,1459,3899,520,1929
123,74615,17713,7443,3854,2321,213,3982,539,1942,1071,1498,4376
124,22027,12561,3058,4792,3330,206,7083,1085,2608,3399,1931,1963
125,22695,7719,2976,6330,2609,463,1556,490,1326,3670,956,1785
126,78839,11506,6577,8871,1109,229,4019,1296,2119,2172,1967,2274
127,68190,16700,2727,9235,2016,183,3580,228,1857,2720,2527,2686
128,25258,8741,4527,4612,4251,370,9146,1043,2269,1104,764,2968
129,42002,14766,5136,3618,2961,343,9243,2,1100,2682,2731,4572
130,59504,8998,7127,5678,3591,487,5019,1444,61,1220,2774,715
131,53159,15321,9468,4163,2769,313,4138,1753,1494,2849,2546,242
132,33986,7403,2342,3942,4865,405,1671,910,1180,1862,1468,3915
133,32666,16521,9598,9411,1024,265,1777,306,805,4445,1304,1523
134,58660,13780,3447,2925,1842,378,5927,431,2172,3565,1753,837
135,23561,15204,4379,3972,3838,158,4022,135,2788,4331,1222,3323
136,46854,14739,8581,1990,1737,189,2860,1932,1875,1298,1595,2953
137,58952,5294,5659,2812,3104,470,4139,1967,2208,3908,1501,1345
138,72251,15177,8317,9995,1179,430,2074,514,540,1041,583,2423
139,42662,10343,8702,1489,1231,293,7763,192,625,1770,1239,2028
140,28392,18836,2526,6876,2917,222,2986,1608,1614,3944,2257,1432
141,50535,16309,3896,4645,1342,235,7327,1438,105,3539,2493,239
142,33067,14882,6754,8081,1476,238,2046,872,1154,2462,722,138
143,68033,6136,4073,3891,2822,328,3176,1141,1708,4854,2952,3193
144,72256,18544,6915,4516,3623,373,3338,665,2823,4118,1692,419
145,43599,7064,8748,4340,1454,149,1500,208,1908,3132,828,303
146,55222,17647,2405,7410,2255,497,3233,951,2049,2709,925,2162
147,31837,12009,8375,1053,1288,217,5608,1057,2280,4129,2077,2026
148,34039,17987,8676,3575,2236,301,8234,648,368,1990,1269,4102
149,78148,9543,9986,1615,3305,492,8972,1341,1274,1710,1719,2226
150,50818,19700,3573,6944,1529,494,7610,119,945,1208,1107,1168
151,39115,17962,7907,8404,3734,290,1600,626,2227,2271,2352,415
152,30965,6007,6600,1954,3976,463,5284,524,292,2234,2624,2713
153,44538,10445,5740,2629,3276,422,5483,1604,583,1038,2546,149
154,62530,15706,6274,7859,4297,280,6901,1960,2842,2275,1800,2444
155,25056,19749,6227,9841,1595,177,7129,1868,2222,4714,1419,838
156,52482,16718,3846,4278,4874,174,2754,768,2170,3973,965,1696
157,67716,17873,3478,6455,1434,394,3464,1112,2274,2826,2464,4339
158,28110,10352,4395,4801,1881,380,5482,511,2491,1761,1971,1910
159,33773,14439,8683,3561,4068,120,8400,46,2475,2436,2445,1421
160,47266,18281,2771,7539,2781,493,7806,771,764,3993,1683,4974
161,72992,17094,7525,1370,1401,270,9643,739,2679,2469,2860,3001
162,37412,6435,8219,1857,3669,114,8396,1982,2112,3099,2154,1320
163,76537,5571,2578,5886,4837,310,8338,1715,1304,1373,2539,4035
164,53270,7382,4901,8485,3135,147,6241,521,1414,4597,1684,1523
165,26910,14437,7611,1383,3631,185,8394,1307,427,1930,2855,3878
166,65453,15276,2193,5334,4964,248,7437,1400,2665,1155,2198,552
167,45446,10084,4007,5290,2565,287,5695,1661,2972,2565,2636,3756
168,76090,5277,3185,3725,4755,471,3588,133,2014,2113,1277,3671
169,73640,18507,4394,7204,1308,405,2782,1690,2859,4974,2918,481
170,20206,12059,4998,7111,3953,250,6947,247,106,3726,2998,599
171,41518,6887,7480,5251,1342,240,7594,1675,658,3398,666,1164
172,42361,17771,3792,1922,1435,168,4520,1341,1182,3116,2939,4678
173,76873,6265,9751,3915,1176,359,4218,435,2312,4234,1235,4232
174,43419,12491,3110,8957,1138,433,4757,1199,1225,2265,1424,1003
175,70636,18018,6005,4046,1193,108,5016,1858,154,4566,1673,1982
176,77010,19527,9429,2230,4257,220,3837,685,895,4454,1991,1634
177,68702,6040,4261,8647,4289,470,7000,585,1521,4123,2489,2997
178,70015,19859,5736,5933,4235,200,8034,350,1620,1653,1566,686
179,71942,14109,5793,4940,2184,248,8309,142,992,1062,1444,3414
180,76560,19736,3936,7483,1942,245,5239,966,2292,1508,528,1759
181,61523,13073,8716,1203,1524,452,5428,803,1323,3339,2397,4937
182,74268,14077,6875,1160,4879,342,5150,1421,1385,4162,2155,2480
183,65151,7752,6357,9960,2624,340,2446,1647,2433,2687,2372,1337
184,42403,13213,2729,4748,4907,436,7468,717,2806,2447,1554,114
185,38141,9569,6378,7718,4113,142,6790,642,2461,2692,2197,3957
186,34820,16383,9815,3581,3962,194,5175,1392,1301,3868,2675,568
187,60342,11353,7586,2093,3257,325,6080,500,2762,2388,2988,1553
188,26374,7353,5451,5500,1740,105,1864,1645,758,3197,1911,2689
189,76044,12437,6457,9799,1861,313,7860,369,746,4911,2289,4590
190,21678,9799,9616,6710,4346,305,9663,1602,592,2294,2165,3340
191,72394,5686,6536,3875,1953,166,7217,1405,1548,3928,1023,2988
192,73788,13476,4140,4191,2302,495,6672,1109,2886,2604,2070,3151
193,53827,9811,3644,2837,2274,199,2502,786,15,2139,2233,3527
194,75820,16939,4800,1689,4381,111,5684,738,992,1703,1259,3015
195,36198,13954,6962,4759,2743,336,2410,1483,1068,1515,2657,821
196,29914,10346,7543,3103,3880,421,4770,949,1344,4658,1851,3574
197,47890,10043,2141,1365,3187,357,5659,1348,2698,2937,1768,3787
198,72309,7428,7410,9092,1791,498,5001,521,2195,2833,2285,1608
199,42299,15699,3455,5172,1545,436,4483,488,2402,2264,2352,559
200,63585,10126,8892,7033,2844,234,5562,1952,702,1029,2710,4063
201,63689,13220,7971,3378,2016,321,1598,396,612,4214,898,4435
202,62557,14098,7943,2205,2927,255,4041,895,104,1325,2946,611
203,69080,16296,7808,5988,2553,241,9160,354,1497,4766,2169,2163
204,64020,12813,8796,6669,1056,257,7391,946,395,3996,738,1881
205,22693,19414,6796,3735,3159,425,8287,287,2653,1015,2103,4169
206,49467,17191,7093,9490,1004,470,1066,1482,2010,1110,1646,3863
207,49723,16186,4096,1956,4481,443,9123,1647,850,3919,2057,3708
208,66699,15698,3325,7623,2437,361,3750,997,1988,3760,2657,1709
209,23627,17857,6976,2474,4253,382,9661,535,441,1106,1794,1761
210,45939,19294,3213,5460,4084,437,7806,1314,1668,3426,799,1692
211,68925,16801,3159,8002,2362,443,7429,850,872,3209,2265,1245
212,62941,16745,6650,7396,2820,328,9123,837,666,1282,1263,125
213,41834,14645,6499,3828,2282,475,2631,167,1051,1268,748,4752
214,38047,18025,6987,3850,3137,379,7452,949,2841,3531,533,1199
215,46105,8356,9008,3964,3663,457,1774,620,2522,3714,727,2711
216,30230,13707,6697,5594,3938,389,7107,427,627,4144,1084,3446
217,35707,19288,7926,7644,3745,267,8804,1725,1428,2220,1223,990
218,41976,12266,2340,3850,2273,146,5019,489,2549,2266,1069,3065
219,64262,11540,5828,1165,4326,302,1929,354,347,1597,719,4954
220,79581,5038,3968,1919,4659,313,4012,195,1263,1798,1894,1521
221,43776,8342,2703,9305,3945,345,6024,544,1017,2282,2622,4728
222,50080,14078,6413,4504,4018,123,7264,716,569,3845,2141,2498
223,21306,7844,8761,1991,2131,420,8973,823,2742,2172,635,2565
224,26776,15396,7482,7047,1667,373,5729,931,2073,2890,2621,4790
225,47251,6098,9989,4839,3641,143,8961,1717,1952,3437,753,2597
226,75016,12027,4429,2258,3636,431,3819,1002,2264,3011,2454,115
227,29474,6823,8376,8609,3532,412,7655,658,1351,3463,549,1031
228,60294,16393,3800,9706,4029,462,2184,938,2884,1425,1014,1241
229,78053,18998,7463,5804,4019,255,9480,779,2821,4044,2337,1742
230,41959,18261,7668,1067,2281,479,7343,10,669,2725,1075,3638
231,25530,8155,6912,6660,3686,298,1527,1605,717,4288,1665,4399
232,49320,8093,6648,5478,1996,261,1916,1279,2357,4999,1402,4090
233,73565,16722,9696,9210,2926,494,4574,395,2646,3914,2749,1975
234,23748,10658,2855,4521,1281,333,4319,730,266,3133,2754,4183
235,51968,8778,3812,1572,4033,262,2406,1832,1438,2239,914,4403
236,52562,7896,4866,8082,4159,215,2241,408,2693,3470,2768,4897
237,33545,16645,5642,8832,2227,192,6206,361,1356,4391,1604,163
238,20663,16703,2182,6395,3063,141,8249,1282,1022,1117,1262,3310
239,54766,5988,5112,3258,4222,383,4133,1026,2037,4997,1062,3388
240,27994,9116,7670,7039,1935,478,1798,83,2497,4006,2916,995
241,48021,11446,6492,1650,1253,309,2523,155,564,3929,2015,1877
242,50303,18156,7823,6741,2211,305,8209,1686,1270,4039,2434,1823
243,70647,17218,8922,7838,1328,319,5928,1199,1059,3462,1869,4906
244,23304,9179,3517,3587,3591,379,3888,706,1424,1598,703,2295
245,72915,6682,9826,8876,3830,235,3690,1961,27,3087,2076,3264
246,74384,19264,7002,4262,4044,205,5091,471,219,2184,568,1348
247,71005,18698,3356,2338,2420,217,8282,618,405,3750,1015,1803
248,66576,10626,4174,5996,2540,336,7249,1447,1637,3584,2787,2251
249,59353,12424,5629,6780,4530,408,1690,133,1798,3467,860,2900
250,37675,17857,5628,3827,4401,487,9719,787,2318,1663,1964,1593
251,72733,17155,6096,6232,4891,199,2495,906,1759,3142,1554,432
252,64417,5933,5239,3217,3892,360,1892,863,1674,4513,2422,3817
253,43938,8598,5691,4539,2192,404,9578,1403,791,2581,2152,4917
254,43664,16425,2018,8845,2716,453,6873,666,962,4020,1206,1070
255,21636,6980,5403,5383,3413,385,5503,276,1309,1649,2125,4600
256,40080,15047,6679,3961,2201,427,1897,1259,833,2489,1156,114
257,47728,8056,6551,4226,1654,202,1710,1775,316,1287,1845,1439
258,69850,13984,5004,7837,2385,162,4695,881,1320,4936,843,1790
259,46736,5791,8132,8031,1759,274,3686,12,2385,2699,1035,994
260,48673,15001,3132,4716,3686,381,8188,341,1330,1411,854,4318
261,57505,10390,5339,4414,2798,392,6778,34,350,3447,1427,4731
262,67323,11635,8588,2448,2063,325,8768,558,510,3575,1482,4767
263,66645,7255,5311,1570,3971,106,6013,1237,2572,2041,2517,957
264,20854,8610,8048,3904,1415,226,5512,1435,491,1135,2652,95
265,44548,6607,5372,3505,4426,191,1415,404,1931,3025,1845,2154
266,58623,10179,8745,1917,1254,289,5180,1517,1617,4535,2095,631
267,27392,11573,8246,7982,2166,458,5262,657,2056,1758,2406,3684
268,75680,5984,2987,8427,4823,152,3515,158,1520,2271,1026,1701
269,66717,10776,5321,7336,4811,341,6640,955,1583,3890,1430,697
270,74401,8676,9620,2678,2876,231,7616,1660,2608,3757,2782,31
271,41556,8380,6615,1615,3757,463,1992,1133,2487,2024,2446,4874
272,70859,13711,9320,8086,3624,211,5370,548,1575,4773,1786,548
273,58559,13782,6954,5749,1899,106,2773,1812,2839,1380,2416,2248
274,46309,6050,2173,4505,3058,329,4561,1549,1761,3556,2093,1893
275,41919,18997,7462,5529,4691,255,4816,984,1991,4531,1873,2834
276,24931,8633,5741,2135,1025,296,7633,1370,1268,2528,1723,1703
277,72662,19323,5052,9566,4004,422,2756,1767,2080,1805,2459,1156
278,52970,11342,8574,8226,1420,463,3373,1851,1046,1475,1465,343
279,64215,19722,2726,6162,4734,322,3576,1659,2892,4628,1463,4072
280,73370,17636,5760,1206,2244,466,5184,278,2613,1953,1396,3462
281,32688,5959,7806,5875,2876,349,9899,478,48,1848,1858,2248
282,45342,11059,3875,2319,3543,182,3397,110,461,1896,716,944
283,57157,13884,8993,2141,2260,339,6969,1659,2637,1031,1122,3880
284,22327,10655,7777,5627,3284,479,5535,1948,335,2927,852,2050
285,60772,17091,6033,8389,2008,494,7883,430,1381,3165,1191,3285
286,72083,9473,7443,3690,1218,459,9127,541,1145,4879,1130,2855
287,60545,7946,2989,8323,2510,422,1734,1138,358,4255,2872,1330
288,20197,12725,5744,4255,2959,362,1632,1113,2393,1190,1668,2003
289,43509,5526,4686,9281,3508,288,5268,1235,192,2770,2855,3615
290,54698,8224,2419,6213,1662,465,5099,1573,1439,2773,1153,1787
291,64542,15445,2593,5108,3682,389,3901,1618,1400,4799,2832,2246
292,35087,19790,8628,4020,4215,461,2663,1562,755,3121,891,3672
293,42671,16536,9826,2857,1989,157,6591,1752,1684,1622,2907,2155
294,45184,17157,3774,9996,1188,108,4872,359,2525,2126,1268,3479
295,47848,18547,4459,3789,1254,403,2054,1509,827,3918,1296,3020
296,62107,6875,2935,4875,1067,214,9572,371,889,1585,1431,51
297,40666,6763,7203,8605,1615,309,4082,1238,652,3467,2470,2159
298,64357,13712,7232,9135,3383,140,9007,1756,2455,1472,664,4390
299,71663,10797,5808,7055,3718,403,5261,1038,2333,2787,1232,3651
300,35708,14208,2331,4882,3868,272,3389,954,1921,1113,1080,3915
301,46370,12099,5449,8175,1873,333,4553,258,850,2402,1320,2112
302,69811,10109,9922,8129,4480,380,6138,777,110,2336,1747,2621
303,22811,11644,4702,6021,3347,471,1544,1486,619,3377,623,4560
304,76250,5116,8184,5735,4979,177,4663,119,792,1338,2471,4729
305,67011,7433,6006,3387,2625,207,3239,975,2097,3285,843,1354
306,26546,10463,7889,7582,1356,380,4773,912,1157,2196,2374,3754
307,78713,5583,7054,6866,1255,138,3627,1151,587,1078,1023,209
308,54754,13586,5868,3566,2007,218,7618,722,2643,1463,628,237
309,50206,18375,6200,1975,3400,434,7780,522,2717,2921,1658,335
310,61106,8788,2201,8212,2755,435,9015,1711,1309,3652,2618,3838
311,31411,15960,4497,2262,4592,126,4130,1668,1957,2987,2820,1576
312,22911,9167,3842,6047,3571,203,1096,324,2361,4572,1710,499
313,21734,17052,3866,8382,4908,173,4858,1343,2653,1561,1526,1564
314,38227,13465,3996,7231,3997,290,3708,1529,296,1284,1808,790
315,28680,15205,7385,4327,3803,423,6397,1549,1629,1222,521,3540
316,39360,18631,2909,6630,4765,246,7152,1073,568,3640,665,3122
317,38343,17625,6305,3259,1283,354,1456,1945,1187,2289,1833,1135
318,25759,6389,6658,2257,4383,383,6914,1607,831,2690,2000,3944
319,43078,16758,5189,1464,1098,312,5368,68,609,3420,997,2348
320,55153,17894,8856,4294,1196,222,5088,390,15,2256,933,4324
321,31111,13357,9544,7774,3529,305,9399,382,1369,3958,2781,149
322,57504,14759,9718,8431,1877,339,2937,15,71,1827,1336,3206
323,21802,11154,7659,2230,4297,493,2146,1462,269,3283,2193,3528
324,28155,10420,2770,4805,2868,438,6152,845,286,3718,1162,1624
325,28120,13920,5155,7419,3662,385,5299,868,65,4988,1224,2574
326,59384,7043,4501,6750,3665,121,9118,567,879,1827,875,4428
327,67025,9197,4714,4856,2388,358,9634,1640,67,3810,802,4269
328,67254,8496,6724,4135,3415,456,8759,131,1216,4385,2952,3284
329,41918,18703,5585,7953,1569,204,8953,1583,1402,2960,2186,2108
330,40445,5778,3628,7034,3637,357,5784,1271,973,2965,1207,3947
331,50306,5213,7797,5589,4146,303,2461,272,507,4884,1416,4914
332,36646,8762,2386,2546,2065,409,2159,1646,2884,3427,2568,2263
333,66843,18399,8031,7065,1421,361,1386,1955,1125,3841,756,1612
334,75439,14768,5421,2094,3883,206,8192,1861,885,1613,898,3815
335,51065,15640,8439,3411,2204,350,5775,1871,2841,1562,550,4719
336,45199,11731,8401,3617,1544,320,4409,1372,2469,3467,2994,577
337,61976,16128,7200,9954,1070,478,1689,483,1987,3099,1094,422
338,36371,8117,6008,5145,4639,321,8028,549,774,2744,1317,2763
339,31835,10791,6093,3775,4176,357,8262,356,2525,3866,1135,1229
340,65936,13783,6363,7628,2223,300,6664,1775,925,4714,1572,3176
341,22049,18621,4466,4155,4172,466,7766,1341,119,4580,2152,753
342,51616,18397,4282,4970,1767,357,1952,1656,1938,2805,1641,4842
343,58191,19427,3856,8972,3354,448,7142,1071,487,2968,1976,687
344,67357,7720,9478,9775,4657,324,6967,1033,2125,3252,1274,722
345,40932,13905,9980,6415,2706,301,8205,232,440,4048,2470,746
346,72260,14127,3998,5331,3424,325,3484,35,461,1730,2164,4337
347,49855,11047,9129,2942,1654,335,2854,412,611,1256,896,2712
348,27158,17529,7476,7026,3725,282,4231,1485,1317,1184,1895,707
349,63016,19331,3236,9301,3446,299,3597,1027,1659,3192,1620,434
350,27400,13032,6669,1191,2796,456,8829,43,916,3031,1028,4876
351,72322,5001,6144,1861,1220,345,9186,567,2656,2713,1184,483
352,62642,11368,3150,7711,4666,452,4983,1577,5,4085,2733,3518
353,35151,16040,6318,1649,1181,210,7963,1278,680,1245,2762,1533
354,71407,19056,9064,5134,1306,105,7684,739,2942,3234,2763,169
355,21154,17236,9446,8587,3569,335,1656,113,2318,4408,2576,1020
356,24499,6949,3431,9828,2419,226,8743,1772,1643,4330,601,4964
357,26295,11732,7624,2036,2013,203,7839,396,2858,1865,622,847
358,75349,19451,9461,5131,3051,336,7312,1197,2606,3087,2601,695
359,79040,12833,3819,3148,3910,254,8938,1278,98,1600,1806,3346
360,32183,5917,4324,6457,4985,356,7176,465,525,4708,2137,4013
361,49299,8174,7557,7079,1847,334,4285,1952,2241,1961,1640,31
362,32874,15433,3130,3430,1803,388,6559,1300,1180,2441,1115,176
363,70800,12014,7777,2879,4352,139,4563,1487,1689,4033,1056,2964
364,52711,5089,8563,8542,1214,387,5584,846,1138,4422,613,2112
365,25539,6709,4658,3011,4019,296,5817,501,395,3056,2066,3886
366,62405,15361,5500,4373,4681,372,6041,440,769,3397,1476,1502
367,73351,17430,2374,8357,2443,481,7182,68,1826,3131,1200,2315
368,77597,8041,4120,2289,1100,363,9026,1532,1545,1532,1816,2644
369,68354,5105,6020,2447,4010,156,4244,325,2927,1988,2839,65
370,22557,14078,4021,4199,4592,397,2040,1765,2792,3042,760,4228
371,58360,13619,5705,7381,1572,197,3273,66,682,4864,2596,1928
372,36482,18616,7149,8522,2332,236,4629,303,1556,1357,1529,584
373,22200,6895,5259,7059,1657,475,3114,971,14,1377,878,1748
374,66940,11090,5435,4183,3986,186,8364,483,2415,3219,2409,2204
375,22961,13508,3889,6462,2533,341,2677,928,2685,2048,2771,3630
376,66975,11082,3823,4216,4134,298,4094,1571,2900,1392,1546,1892
377,41357,5634,3474,4136,2656,409,6873,1440,1236,2126,1507,2429
378,73585,6925,4242,4318,1225,183,3284,1182,2747,1701,609,3093
379,31969,7056,7275,3782,1104,341,6052,148,4,4307,1922,973
380,22869,11917,5243,8657,2997,380,8062,1050,2278,2433,1505,4024
381,70108,8144,8990,5920,1771,422,2589,986,1908,4896,1197,2642
382,66760,15462,7160,7324,4932,351,3520,583,1425,3596,805,1442
383,48643,14631,5134,7327,4496,289,5648,247,1607,1783,2105,4329
384,44736,5552,4070,9417,4326,251,6729,1124,2633,2828,2231,1477
385,58467,13907,2359,1776,1428,401,1694,701,168,3379,1458,770
386,43328,10383,9242,6208,1433,377,8807,95,2808,4735,1453,305
